ID,NAME,STARTYEAR,ENDYEAR,POS,HT,WT,BIRTHDATE,COLLEGE
77,Charlie Scott*,1971,1980,G-F,6-5,175,December 15, 1948,University of North Carolina
78,Dennis Scott,1991,2000,F,6-8,229,September 5, 1968,Georgia Institute of Technology
79,James Scott,1997,1997,F,6-6,180,June 6, 1972,St. John's University
80,Mike Scott,2013,2018,F,6-8,237,July 16, 1988,University of Virginia
81,Ray Scott,1962,1972,F-C,6-9,215,July 12, 1938,University of Portland
82,Shawnelle Scott,1997,2002,C,6-10,250,June 16, 1972,St. John's University
83,Willie Scott,1970,1970,F,6-5,210,May 22, 1947,Alabama State University
84,Paul Scranton,1968,1968,F,6-5,230,April 30, 1944,California State Polytechnic University, Pomona
85,Carey Scurry,1986,1988,F,6-7,188,December 4, 1962,Long Island University
86,Bruce Seals,1974,1978,F,6-8,210,June 18, 1953,Xavier University of Louisiana
87,Shea Seals,1998,1998,G,6-5,210,August 26, 1975,University of Tulsa
88,Malik Sealy,1993,2000,G,6-8,190,February 1, 1970,St. John's University
89,Ed Searcy,1976,1976,F,6-6,210,April 17, 1952,St. John's University
90,Kenny Sears,1956,1964,F,6-9,198,August 17, 1933,Santa Clara University
91,Wayne See,1950,1950,G,6-3,190,November 3, 1923,Northern Arizona University
92,Thabo Sefolosha,2007,2018,G-F,6-7,220,May 2, 1984,
93,Rony Seikaly,1989,1999,C,6-11,230,May 10, 1965,Syracuse University
94,Glen Selbo,1950,1950,G-F,6-3,196,March 29, 1926,University of Wisconsin
95,Josh Selby,2012,2013,G,6-2,183,March 27, 1991,University of Kansas
96,Wayne Selden,2017,2018,G-F,6-5,230,September 30, 1994,University of Kansas
97,Brad Sellers,1987,1993,C-F,7-0,210,December 17, 1962,University of Wisconsin, Ohio State University
98,Phil Sellers,1977,1977,F-G,6-4,195,November 20, 1953,Rutgers University
99,Rollie Seltz,1950,1950,G-F,5-10,165,January 25, 1924,Hamline University
100,Lester Selvage,1968,1970,G,6-1,175,March 7, 1943,Truman State University
101,Frank Selvy,1955,1964,G-F,6-3,180,November 9, 1932,Furman University
102,Jim Seminoff,1947,1950,G-F,6-2,190,September 1, 1922,University of Southern California
103,Mouhamed Sene,2007,2009,C-F,6-11,230,May 12, 1986,
104,George Senesky,1947,1954,G,6-2,179,April 4, 1922,Saint Joseph's University
105,Kevin Seraphin,2011,2017,F,6-9,285,December 7, 1989,
106,Ansu Sesay,2002,2005,F,6-9,225,July 29, 1976,University of Mississippi
107,Ramon Sessions,2008,2018,G,6-3,190,April 11, 1986,University of Nevada, Reno
108,Ha Seung-Jin,2005,2006,C,7-3,305,August 4, 1985,
109,Tom Sewell,1985,1985,G,6-5,185,March 11, 1962,Lamar University
110,Paul Seymour,1948,1960,G-F,6-1,180,January 30, 1928,University of Toledo
111,Nick Shaback,1947,1947,G,5-11,180,September 10, 1918,
112,Lynn Shackelford,1970,1970,F,6-5,190,August 27, 1947,University of California, Los Angeles
113,Charles Shackleford,1989,1999,F-C,6-10,225,April 22, 1966,North Carolina State University
114,Carl Shaeffer,1950,1951,F-G,6-3,185,October 25, 1924,University of Alabama
115,Lee Shaffer,1962,1964,F,6-7,220,February 23, 1939,University of North Carolina
116,Mustafa Shakur,2011,2014,G,6-3,190,August 18, 1984,University of Arizona
117,God Shammgod,1998,1998,G,6-0,169,April 29, 1976,Providence College
118,Earl Shannon,1947,1949,G-F,5-11,170,November 23, 1921,University of Rhode Island
119,Howie Shannon,1949,1950,G-F,6-2,175,June 10, 1923,Kansas State University
120,Chuck Share,1952,1960,C,6-11,235,March 14, 1927,Bowling Green State University
121,Bill Sharman*,1951,1961,G,6-1,175,May 25, 1926,University of Southern California
122,Walter Sharpe,2009,2009,F,6-9,245,July 18, 1986,Mississippi State University, University of Alabama at Birmingham
123,John Shasky,1989,1991,C,6-11,235,July 31, 1964,University of Minnesota
124,Ron Shavlik,1957,1958,F,6-8,200,December 4, 1933,North Carolina State University
125,Brian Shaw,1989,2003,G,6-6,190,March 22, 1966,Saint Mary's College of California, University of California, Santa Barbara
126,Casey Shaw,1999,1999,C,6-11,260,July 20, 1975,University of Toledo
127,Bob Shea,1947,1947,F,6-2,194,September 11, 1924,University of Rhode Island
128,Fred Sheffield,1947,1947,F,6-2,165,November 5, 1923,University of Utah
129,Craig Shelton,1981,1982,F,6-7,210,May 1, 1957,Georgetown University
130,Lonnie Shelton,1977,1986,F-C,6-8,240,October 19, 1955,Oregon State University
131,Tornike Shengelia,2013,2014,F,6-9,217,October 5, 1991,
132,Billy Shepherd,1973,1975,G,5-10,160,November 18, 1949,Butler University
133,Jeffrey Sheppard,1999,1999,G,6-3,190,September 29, 1974,University of Kentucky
134,Steve Sheppard,1978,1979,F,6-6,215,March 21, 1954,University of Maryland
135,Ed Sherod,1983,1983,G,6-2,170,September 13, 1959,Virginia Commonwealth University
136,Charley Shipp,1950,1950,G-F,6-1,200,December 3, 1913,Catholic University of America
137,Paul Shirley,2003,2005,F-C,6-10,230,December 23, 1977,Iowa State University
138,Gene Short,1976,1976,F,6-6,200,August 7, 1953,Jackson State University
139,Purvis Short,1979,1990,F-G,6-7,210,July 2, 1957,Jackson State University
140,Dexter Shouse,1990,1990,G,6-2,200,March 24, 1963,University of South Alabama
141,Dick Shrider,1949,1949,G,6-2,190,February 7, 1923,Ohio University
142,Gene Shue,1955,1964,G,6-2,170,December 18, 1931,University of Maryland
143,John Shumate,1976,1981,F-C,6-9,235,April 6, 1952,University of Notre Dame
144,Iman Shumpert,2012,2018,G,6-5,220,June 26, 1990,Georgia Institute of Technology
145,Alexey Shved,2013,2015,G,6-6,190,December 16, 1988,
146,Pascal Siakam,2017,2018,F,6-9,230,February 4, 1994,New Mexico State University
147,Sam Sibert,1973,1973,F,6-7,215,February 11, 1949,Kentucky State University
148,Mark Sibley,1974,1974,G,6-2,175,November 13, 1950,Northwestern University
149,Jerry Sichting,1981,1990,G,6-1,168,November 29, 1956,Purdue University
150,Donald Sidle,1969,1972,F-C,6-8,215,June 21, 1946,University of Oklahoma
151,Larry Siegfried,1964,1972,F,6-3,190,May 22, 1939,Ohio State University
152,Ralph Siewert,1947,1947,C,7-1,230,December 31, 1923,Dakota Wesleyan University
153,Jack Sikma,1978,1991,C-F,6-11,230,November 14, 1955,Illinois Wesleyan University
154,James Silas,1973,1982,G,6-1,180,February 11, 1949,Stephen F. Austin State University
155,Paul Silas,1965,1980,F-C,6-7,220,July 12, 1943,Creighton University
156,Xavier Silas,2012,2018,G,6-5,205,January 22, 1988,University of Colorado, Northern Illinois University
157,Garret Siler,2011,2011,C,6-11,305,October 25, 1986,Augusta State University
158,Mike Silliman,1971,1971,F,6-6,225,May 5, 1944,United States Military Academy
159,Wayne Simien,2006,2007,F,6-9,255,March 9, 1983,University of Kansas
160,Ben Simmons,2018,2018,G-F,6-10,230,July 20, 1996,Louisiana State University
161,Bobby Simmons,2002,2012,G-F,6-7,210,June 2, 1980,DePaul University
162,Cedric Simmons,2007,2009,F,6-9,235,January 3, 1986,North Carolina State University
163,Connie Simmons,1947,1956,C-F,6-8,222,March 15, 1925,
164,Grant Simmons,1968,1969,G,6-3,190,March 7, 1943,University of Nebraska
165,Johnny Simmons,1947,1947,G,6-1,184,July 7, 1924,New York University
166,Jonathon Simmons,2016,2018,G-F,6-6,195,September 14, 1989,University of Houston
167,Kobi Simmons,2018,2018,G,6-5,166,July 4, 1997,University of Arizona
168,Lionel Simmons,1991,1997,F,6-7,210,November 14, 1968,La Salle University
169,Miles Simon,1999,1999,G,6-3,202,November 21, 1975,University of Arizona
170,Walter Simon,1968,1974,F-G,6-6,200,December 1, 1939,Benedict College
171,Dickey Simpkins,1995,2002,F,6-9,248,April 6, 1972,Providence College
172,Ralph Simpson,1971,1980,G-F,6-5,200,August 10, 1949,Michigan State University
173,Alvin Sims,1999,1999,G,6-4,235,October 18, 1974,University of Louisville
174,Bob Sims,1962,1968,G-F,6-5,220,October 9, 1938,Pepperdine University
175,Courtney Sims,2008,2009,C,6-10,245,October 21, 1983,University of Michigan
176,Doug Sims,1969,1969,F,6-7,195,June 29, 1943,Kent State University
177,Henry Sims,2013,2016,C,6-10,248,March 27, 1990,Georgetown University
178,Scott Sims,1978,1978,G,6-1,170,April 18, 1955,University of Missouri
179,Kyle Singler,2013,2018,F,6-8,228,May 4, 1988,Duke University
180,Sean Singletary,2009,2009,G,6-0,185,September 6, 1985,University of Virginia
181,Chris Singleton,2012,2014,F,6-8,230,November 21, 1989,Florida State University
182,James Singleton,2006,2012,F,6-8,216,July 20, 1981,Murray State University
183,McKinley Singleton,1987,1987,G,6-5,175,October 29, 1961,University of Alabama at Birmingham
184,Zeke Sinicola,1952,1954,G,5-10,165,January 25, 1929,Niagara University
185,Charlie Sitton,1985,1985,F,6-8,210,July 3, 1962,Oregon State University
186,Peyton Siva,2014,2014,G,6-0,185,October 24, 1990,University of Louisville
187,Scott Skiles,1987,1996,G,6-1,180,March 5, 1964,Michigan State University
188,Al Skinner,1975,1980,G,6-3,190,June 16, 1952,University of Massachusetts Amherst
189,Brian Skinner,1999,2012,F,6-9,255,May 19, 1976,Baylor University
190,Tal Skinner,1975,1976,F-G,6-5,195,September 10, 1952,University of Maryland Eastern Shore
191,Whitey Skoog,1952,1957,G,5-11,180,November 2, 1926,University of Minnesota
192,Jeff Slade,1963,1963,F,6-6,220,March 1, 1941,Kenyon College
193,Reggie Slater,1995,2003,F,6-7,215,August 27, 1970,University of Wyoming
194,Jim Slaughter,1952,1952,C,6-11,210,May 13, 1928,University of South Carolina
195,Jose Slaughter,1983,1983,G,6-5,205,September 9, 1960,University of Portland
196,Tamar Slay,2003,2005,G,6-8,215,April 2, 1980,Marshall University
197,Donald Sloan,2012,2016,G,6-3,205,January 15, 1988,Texas A&M; University
198,Jerry Sloan*,1966,1976,G-F,6-5,195,March 28, 1942,University of Evansville
199,Uros Slokar,2007,2007,F,6-10,238,May 14, 1983,
200,Tom Sluby,1985,1985,G,6-4,200,February 18, 1962,University of Notre Dame
201,Keith Smart,1989,1989,G,6-1,175,September 21, 1964,Indiana University
202,Marcus Smart,2015,2018,G,6-4,220,March 6, 1994,Oklahoma State University
203,Belus Smawley,1947,1952,G-F,6-1,195,March 20, 1918,Appalachian State University
204,Jack Smiley,1949,1950,F-G,6-3,190,December 22, 1922,University of Illinois at Urbana-Champaign
205,Adrian Smith,1962,1972,G,6-1,180,October 5, 1936,University of Kentucky
206,Al Smith,1972,1976,G,6-1,185,January 15, 1947,Bradley University
207,Bill Smith,1962,1962,G-F,6-5,190,April 26, 1939,Saint Peter's College
208,Bingo Smith,1970,1980,F-G,6-5,195,February 26, 1946,University of Tulsa
209,Bobby Smith,1960,1962,G,6-4,190,August 20, 1937,West Virginia University
210,Charles Smith,1989,1997,F-C,6-10,230,July 16, 1965,University of Pittsburgh
211,Charles Smith,1990,1996,G,6-1,160,November 29, 1967,Georgetown University
212,Charles Smith,1998,2006,G,6-4,194,August 22, 1975,University of New Mexico
213,Chris Smith,1993,1995,G,6-3,190,May 17, 1970,University of Connecticut
214,Chris Smith,2014,2014,G,6-2,200,October 13, 1987,Manhattan College, University of Louisville
215,Clinton Smith,1987,1991,F,6-6,210,January 19, 1964,Ohio State University, Cleveland State University
216,Craig Smith,2007,2012,F,6-7,250,November 10, 1983,Boston College
217,Deb Smith,1947,1947,F,6-3,180,January 7, 1920,University of Utah
218,Dennis Smith,2018,2018,G,6-3,195,November 25, 1997,North Carolina State University
219,Derek Smith,1983,1991,G-F,6-6,205,November 1, 1961,University of Louisville
220,Don Smith,1949,1949,G-F,6-2,190,July 27, 1920,University of Minnesota
221,Don Smith,1975,1975,G,6-0,160,October 10, 1951,University of Dayton
222,Donta Smith,2005,2006,G-F,6-7,215,November 27, 1983,Southeastern Illinois College
223,Doug Smith,1992,1996,F,6-10,220,September 17, 1969,University of Missouri
224,Ed Smith,1954,1954,F,6-6,180,July 5, 1929,Harvard University
225,Elmore Smith,1972,1979,C,7-0,250,May 9, 1949,Kentucky State University
226,Garfield Smith,1971,1973,C-F,6-9,235,November 18, 1945,Eastern Kentucky University
227,Greg Smith,1969,1976,F,6-5,195,January 28, 1947,Western Kentucky University
228,Greg Smith,2012,2016,C,6-10,250,January 8, 1991,California State University, Fresno
229,Ish Smith,2011,2018,G,6-0,175,July 5, 1988,Wake Forest University
230,J.R. Smith,2005,2018,G-F,6-6,225,September 9, 1985,
231,Jabari Smith,2001,2005,C,6-11,250,February 12, 1977,Louisiana State University
232,Jason Smith,2008,2018,F-C,7-0,245,March 2, 1986,Colorado State University
233,Jerry Smith,2012,2012,G,6-2,190,September 26, 1987,University of Louisville
234,Jim Smith,1982,1983,F,6-9,225,April 12, 1958,Ohio State University
235,Joe Smith,1996,2011,F,6-10,225,July 26, 1975,University of Maryland
236,John Smith,1969,1970,C,7-0,235,May 24, 1944,University of Southern Colorado
237,Josh Smith,2005,2018,F,6-9,225,December 5, 1985,
238,Keith Smith,1987,1987,G,6-3,180,March 9, 1964,Loyola Marymount University
239,Ken Smith,1976,1976,F,6-7,185,July 12, 1953,University of Tulsa
240,Kenny Smith,1988,1997,G,6-3,170,March 8, 1965,University of North Carolina
241,LaBradford Smith,1992,1994,G,6-3,200,April 3, 1969,University of Louisville
242,Larry Smith,1981,1993,F-C,6-8,215,January 18, 1958,Alcorn State University
243,Leon Smith,2002,2004,C,6-10,235,November 2, 1980,
244,Michael Smith,1990,1995,F,6-10,225,May 19, 1965,Brigham Young University
245,Michael Smith,1995,2001,F,6-8,230,March 28, 1972,Providence College
246,Mike Smith,2001,2001,F,6-8,195,April 15, 1976,University of Louisiana at Monroe
247,Nolan Smith,2012,2013,G,6-2,185,July 25, 1988,Duke University
248,Otis Smith,1987,1992,G-F,6-5,210,January 30, 1964,Jacksonville University
249,Pete Smith,1973,1973,F,6-6,205,,Valdosta State University
250,Phil Smith,1975,1983,G,6-4,185,April 22, 1952,University of San Francisco
251,Randy Smith,1972,1983,G-F,6-3,180,December 12, 1948,State University of New York College at Buffalo
252,Reggie Smith,1993,1994,C,6-10,240,August 21, 1970,Texas Christian University
253,Robert Smith,1978,1985,G,5-11,165,March 10, 1955,University of Nevada, Las Vegas
254,Russ Smith,2015,2016,G,6-0,165,April 19, 1991,University of Louisville
255,Sam Smith,1968,1971,F,6-7,230,January 27, 1944,Kentucky Wesleyan College
256,Sam Smith,1979,1980,G,6-4,200,January 8, 1955,University of Nevada, Las Vegas
257,Steve Smith,1992,2005,G,6-7,200,March 31, 1969,Michigan State University
258,Steven Smith,2007,2007,F,6-8,235,April 12, 1983,La Salle University
259,Stevin Smith,1997,1997,G,6-2,208,January 24, 1972,Arizona State University
260,Theron Smith,2004,2005,F,6-8,225,October 3, 1980,Ball State University
261,Tony Smith,1991,2001,G,6-3,185,June 14, 1968,Marquette University
262,William Smith,1972,1973,C,7-0,220,February 14, 1949,Syracuse University
263,Willie Smith,1977,1980,G,6-2,170,October 26, 1953,University of Missouri
264,Rik Smits,1989,2000,C,7-4,250,August 23, 1966,Marist College
265,Mike Smrek,1986,1992,C,7-0,250,August 31, 1962,Canisius College
266,Joe Smyth,1954,1954,F,6-3,215,May 22, 1929,Niagara University
267,Tony Snell,2014,2018,G-F,6-7,200,November 10, 1991,University of New Mexico
268,Eric Snow,1996,2008,G,6-3,190,April 24, 1973,Michigan State University
269,Dick Snyder,1967,1979,G-F,6-5,207,February 1, 1944,Davidson College
270,Kirk Snyder,2005,2008,G,6-6,225,June 5, 1983,University of Nevada, Reno
271,Chips Sobek,1950,1950,G-F,6-0,180,February 10, 1920,University of Notre Dame
272,Ricky Sobers,1976,1986,G,6-3,198,January 15, 1953,University of Nevada, Las Vegas
273,Ron Sobie,1957,1960,G,6-3,185,September 21, 1934,DePaul University
274,Mike Sojourner,1975,1977,C-F,6-9,225,October 16, 1953,University of Utah
275,Willie Sojourner,1972,1975,C-F,6-8,225,September 10, 1948,Weber State University
276,Will Solomon,2002,2009,G,6-1,185,July 20, 1978,Clemson University
277,Willie Somerset,1966,1969,G,5-8,170,March 17, 1942,Duquesne University
278,Darius Songaila,2004,2011,F,6-9,248,February 14, 1978,Wake Forest University
279,Dave Sorenson,1971,1973,F,6-8,225,July 8, 1948,Ohio State University
280,James Southerland,2014,2014,F,6-8,215,April 28, 1990,Syracuse University
281,Gino Sovran,1947,1947,F-G,6-2,175,December 17, 1924,University of Detroit Mercy
282,Pape Sow,2005,2007,F,6-10,250,November 22, 1981,California State University, Fullerton
283,Ken Spain,1971,1971,C,6-9,225,October 6, 1946,University of Houston
284,Jim Spanarkel,1980,1984,G-F,6-5,190,June 28, 1957,Duke University
285,Vassilis Spanoulis,2007,2007,G,6-4,195,August 7, 1982,
286,Daniel Sparks,1969,1970,F,6-8,200,April 17, 1945,Weber State University
287,Guy Sparrow,1958,1960,F,6-6,218,November 2, 1932,University of Detroit Mercy
288,Rory Sparrow,1981,1992,G,6-2,175,June 12, 1958,Villanova University
289,Odie Spears,1949,1957,G,6-5,205,June 17, 1924,Western Kentucky University
290,Art Spector,1947,1950,F,6-4,200,October 17, 1920,Villanova University
291,Marreese Speights,2009,2018,C-F,6-10,255,August 4, 1987,University of Florida
292,Andre Spencer,1993,1994,F,6-6,210,July 20, 1964,Northern Arizona University
293,Elmore Spencer,1993,1997,C,7-0,270,December 6, 1969,University of Georgia, University of Nevada, Las Vegas
294,Felton Spencer,1991,2002,C,7-0,265,January 15, 1968,University of Louisville
295,Lou Spicer,1947,1947,F,6-2,195,November 12, 1922,Syracuse University
296,Craig Spitzer,1968,1968,C,7-0,225,December 18, 1945,Tulane University
297,Tiago Splitter,2011,2017,F-C,6-11,245,January 1, 1985,
298,Art Spoelstra,1955,1958,C,6-9,220,September 11, 1932,Western Kentucky University
299,Bruce Spraggins,1968,1968,F,6-5,188,,Virginia Union University
300,Latrell Sprewell,1993,2005,G,6-5,190,September 8, 1970,University of Alabama
301,Larry Spriggs,1982,1986,F,6-7,230,September 8, 1959,Howard University
302,Jim Springer,1949,1949,C,6-9,235,June 17, 1926,
303,Jim Spruill,1949,1949,G,6-2,225,February 26, 1923,Rice University
304,Ryan Stack,1999,2000,F,6-11,215,July 24, 1975,University of South Carolina
305,Jerry Stackhouse,1996,2013,G-F,6-6,218,November 5, 1974,University of North Carolina
306,Kevin Stacom,1975,1982,G,6-3,185,September 4, 1951,College of the Holy Cross, Providence College
